Datetime,Symbol,Open,High,Low,Close,Volume
2025-07-01 08:49:00,QQQ,550.51,550.59,550.51,550.59,827.0
2025-07-01 08:50:00,QQQ,550.61,550.7,550.61,550.7,1210.0
2025-07-01 08:51:00,QQQ,550.7,550.75,550.7,550.73,2172.0
2025-07-01 08:53:00,QQQ,550.72,550.72,550.72,550.72,478.0
2025-07-01 08:54:00,QQQ,550.68,550.7,550.66,550.66,1307.0
2025-07-01 08:55:00,QQQ,550.73,550.77,550.71,550.77,1225.0
2025-07-01 08:56:00,QQQ,550.77,550.77,550.63,550.63,1340.0
2025-07-01 08:57:00,QQQ,550.7,550.7,550.69,550.69,500.0
2025-07-01 09:00:00,QQQ,550.76,550.83,550.76,550.83,1532.0
2025-07-01 09:01:00,QQQ,550.76,550.78,550.76,550.76,1122.0
2025-07-01 09:02:00,QQQ,550.78,550.78,550.75,550.75,1092.0
2025-07-01 09:04:00,QQQ,550.72,550.75,550.7,550.73,4067.0
2025-07-01 09:05:00,QQQ,550.63,550.63,550.63,550.63,650.0
2025-07-01 09:06:00,QQQ,550.62,550.62,550.61,550.61,993.0
2025-07-01 09:07:00,QQQ,550.57,550.59,550.41,550.5,6456.0
2025-07-01 09:08:00,QQQ,550.53,550.53,550.47,550.49,1280.0
2025-07-01 09:10:00,QQQ,550.44,550.44,550.44,550.44,354.0
2025-07-01 09:11:00,QQQ,550.37,550.37,550.28,550.35,2066.0
2025-07-01 09:13:00,QQQ,550.3,550.3,550.2,550.2,1631.0
2025-07-01 09:14:00,QQQ,550.21,550.21,550.18,550.18,1146.0
2025-07-01 09:15:00,QQQ,550.3,550.3,550.3,550.3,350.0
2025-07-01 09:16:00,QQQ,550.34,550.34,550.22,550.22,1662.0
2025-07-01 09:17:00,QQQ,550.26,550.3,550.25,550.3,3659.0
2025-07-01 09:18:00,QQQ,550.41,550.53,550.39,550.53,4050.0
2025-07-01 09:19:00,QQQ,550.62,550.63,550.61,550.63,1482.0
2025-07-01 09:22:00,QQQ,550.56,550.56,550.54,550.55,783.0
2025-07-01 09:23:00,QQQ,550.58,550.58,550.58,550.58,230.0
2025-07-01 09:24:00,QQQ,550.6,550.6,550.56,550.56,411.0
2025-07-01 09:25:00,QQQ,550.57,550.6,550.57,550.58,997.0
2025-07-01 09:26:00,QQQ,550.47,550.47,550.47,550.47,330.0
2025-07-01 09:27:00,QQQ,550.45,550.46,550.44,550.46,1030.0
2025-07-01 09:28:00,QQQ,550.53,550.53,550.52,550.52,506.0
2025-07-01 09:29:00,QQQ,550.46,550.47,550.4,550.4,1635.0
2025-07-01 09:30:00,QQQ,550.4,550.4,550.34,550.34,1124.0
2025-07-01 09:31:00,QQQ,550.3,550.3,550.18,550.24,2626.0
2025-07-01 09:32:00,QQQ,550.31,550.35,550.29,550.35,844.0
2025-07-01 09:33:00,QQQ,550.37,550.37,550.35,550.35,1185.0
2025-07-01 09:34:00,QQQ,550.34,550.34,550.34,550.34,431.0
2025-07-01 09:36:00,QQQ,550.41,550.44,550.41,550.44,463.0
2025-07-01 09:37:00,QQQ,550.36,550.4,550.36,550.4,948.0
2025-07-01 09:39:00,QQQ,550.34,550.34,550.29,550.29,581.0
2025-07-01 09:40:00,QQQ,550.34,550.34,550.34,550.34,1641.0
2025-07-01 09:42:00,QQQ,550.29,550.29,550.26,550.27,823.0
2025-07-01 09:43:00,QQQ,550.2,550.22,550.18,550.19,2442.0
2025-07-01 09:45:00,QQQ,550.27,550.28,550.27,550.28,936.0
2025-07-01 09:46:00,QQQ,550.22,550.22,550.0,550.01,10086.0
2025-07-01 09:47:00,QQQ,550.06,550.06,550.05,550.06,1265.0
2025-07-01 09:48:00,QQQ,550.1,550.15,550.09,550.11,1569.0
2025-07-01 09:49:00,QQQ,550.12,550.12,550.12,550.12,787.0
2025-07-01 09:50:00,QQQ,550.04,550.04,550.01,550.02,2430.0
2025-07-01 09:51:00,QQQ,550.03,550.05,550.02,550.05,1698.0
2025-07-01 09:52:00,QQQ,550.0,550.0,550.0,550.0,702.0
2025-07-01 09:53:00,QQQ,550.05,550.06,550.05,550.05,522.0
2025-07-01 09:54:00,QQQ,550.12,550.17,550.12,550.17,1370.0
2025-07-01 09:55:00,QQQ,550.16,550.18,550.14,550.14,1678.0
2025-07-01 09:56:00,QQQ,550.23,550.3,550.23,550.3,585.0
2025-07-01 09:57:00,QQQ,550.27,550.27,550.25,550.25,1117.0
2025-07-01 09:58:00,QQQ,550.34,550.34,550.34,550.34,570.0
2025-07-01 09:59:00,QQQ,550.37,550.46,550.37,550.46,1622.0
2025-07-01 10:00:00,QQQ,550.43,550.43,550.39,550.39,328.0
2025-07-01 10:01:00,QQQ,550.44,550.5,550.42,550.5,1326.0
